smiles,y_recorded,p_active_oof,chembl_id,review_note
Nc1nc(-c2cncc(O)c2)n[nH]1,0,0.5276966691017151,CHEMBL4558586,
O=C(O)CCNC(=O)c1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1,0,0.5280926823616028,CHEMBL1208641,
CC1=CC(=O)N(Cc2ccccc2)C1=O,0,0.5281183123588562,CHEMBL1774739,
CC1(C)CCSC(/C=C/c2ccccc2)=N1,0,0.52817702293396,CHEMBL2002262,
CNC(=O)c1cc2ccccc2[nH]c1=O,0,0.5282478332519531,CHEMBL4519321,
CC1Nc2ncccc2NC1=O,0,0.5283190608024597,CHEMBL4547482,
c1ccc(CSc2nc3c[nH]cnc-3n2)cc1,0,0.5292946696281433,CHEMBL1526917,
CCOc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1,0,0.5293446183204651,CHEMBL1388703,
CCCCCCCCCCCCCCCCCCOCC(O)CO,0,0.5293660759925842,CHEMBL1482516,
Nc1cc(-c2cccnc2)on1,0,0.5296404361724854,CHEMBL4520336,
Cc1cc(-c2ccc(N3C(=O)CC4(CCCC4)C3=O)c(C)c2)ccc1N1C(=O)CC2(CCCC2)C1=O,0,0.5298236608505249,CHEMBL4296847,
Cc1cc(N2CCS(=O)(=O)CC2)nc2ccccc12,0,0.5298970341682434,CHEMBL4585502,
C[C@@H]1CNC(=O)C[C@H](C)O1,0,0.5299683213233948,CHEMBL4522219,
COc1ccc2nc3cc(Cl)ccc3c(Nc3cc(C(C)C)c(O)cc3C)c2c1,0,0.5300614237785339,CHEMBL1430372,
COc1cc(C(=O)NC2CC2)cc(Cl)c1O,0,0.5300987958908081,CHEMBL4528505,
Cc1ccc(C(C)C)cc1NC(=O)Nc1ccc([N+](=O)[O-])cc1,0,0.5301779508590698,CHEMBL1384068,
Sc1nccn1-c1ccccc1Cl,0,0.5302780866622925,CHEMBL1413700,
CCOC(=O)C1=C(C)OC(=O)CC1c1ccccc1,0,0.53038090467453,CHEMBL4541909,
CN1CCN(S(=O)(=O)c2cccc3nonc23)CC1,0,0.5305184721946716,CHEMBL4558893,
NCc1c(O)ccc2ccccc12,0,0.5306756496429443,CHEMBL406341,
NC(Cc1ccccc1F)C(=O)O.O=C(O)C(F)(F)F,0,0.5306891798973083,CHEMBL4539393,
CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C,0,0.5312244892120361,CHEMBL1205,
CN(C)Cc1cc(C(F)(F)F)ccc1C(O)(c1ccccc1)c1ccccc1,0,0.5314597487449646,CHEMBL1409682,
COc1ccc(-c2noc(C(C)n3ccnc3)n2)cn1,0,0.5314967632293701,CHEMBL4593506,
COc1c2c(cc3c1[C@@H]1Oc4c(ccc(O)c4CC=C(C)C)[C@@H]1CO3)OC(C)(C)C=C2,0,0.5325974225997925,CHEMBL4296986,
CCOC(=O)c1c(C)nc2nc3c(c(N)c2c1-c1ccc(OC)cc1)CCCCCC3,0,0.5329818725585938,CHEMBL2234543,
NS(=O)(=O)c1ccc(NC(=O)c2ccccc2O)cc1,0,0.5332489609718323,CHEMBL4569316,
